BE THERE AHEAD,領先直前,S193,034,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=S193&Option=1#htop
BEAR CHUM,兄弟熊,V203,055,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V203&Option=1#htop
BEAR RAPPER,至叻熊,S337,062,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=S337&Option=1#htop
BEAT THE CLOCK,爭分奪秒,V397,091,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V397&Option=1#htop
BEAUTY BEST,最美麗,V382,080,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V382&Option=1#htop
BEAUTY CONNECTION,美麗之友,T415,059,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T415&Option=1#htop
BEAUTY FLARE,美麗出擊,V240,064,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V240&Option=1#htop
BEAUTY GENERATION,美麗傳承,V380,100,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V380&Option=1#htop
BEAUTY KINGDOM,美麗皇者,T189,074,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T189&Option=1#htop
BEAUTY LOVE,愛美麗,V025,058,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V025&Option=1#htop
BEAUTY MASTER,美麗皇牌,V135,076,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V135&Option=1#htop
BEAUTY ONLY,美麗大師,S411,126,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=S411&Option=1#htop
BEAUTY PRINCE,美麗鉅星,T411,081,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T411&Option=1#htop
BEAUTY WAY,美麗威威,A159,085,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=A159&Option=1#htop
BEEKELY,貝奇利,A047,050,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=A047&Option=1#htop
BELOVED,同明相照,V312,053,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V312&Option=1#htop
BERLINI,貝連利,P359,088,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=P359&Option=1#htop
BERNARD'S CHOICE,勝捷勝,N156,017,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=N156&Option=1#htop
BEST EFFORT,有衝勁,T220,050,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T220&Option=1#htop
